LISTADO GENERAL DE PRECIOS,C/U,GANA,V/U
FILTRO EN LINEA DE ROSCA  3/8  163       3-4T            EVERWELL,"5,60","3,92","9,52"
FILTRO EN LINEA DE ROSCA  3/8  163       3-4T            KIELMANN,"5,15","3,61","8,76"
FILTRO EN LINEA DE  ROSCA  3/8  303      3-6T            KIELMANN,"8,57","6,00","14,57"
FILTRO EN LINEA DE   ROSCA  3/8  033    3/4  1 T        EVERWELL,"5,80","4,06","9,86"
FILTRO EN LINEA DE  ROSCA  1/2   084      3-5T            EVERWELL,"5,90","4,13","10,03"
FILTRO EN LINEA DE  ROSCA 1/2   164       4-5T            EVERWELL,"6,00","4,20","10,20"
FILTRO EN LINEA DE  ROSCA 1/2   164       4-5T            KIELMANN,"6,50","4,55","11,05"
FILTRO EN LINEA DE  ROSCA 1/2   304      10T             KIELMANN,"8,66","6,06","14,72"
"FILTRO EN LINEA DE ROSCA  1/2    414     7,5 -10T      EVERWELL","6,20","4,34","10,54"
FILTRO EN LINEA DE ROSCA  5/8    165      10T             EVERWELL,"6,25","4,38","10,63"
FILTRO EN LINEA DE ROSCA  5/8    415     10-12T       EVERWELL,"6,30","4,41","10,71"
FILTRO EN LINEA DE ROSCA  5/8    305                        KIELMANN,"8,86","6,20","15,06"
FILTRO EN LINEA DE ROSCA  5/8    305                        TOPFLO,"16,59","11,61","28,20"
FILTRO EN LINEA DE ROSCA  5/8    EK305 SAE,"18,00","12,60","30,60"
FILTRO EN LINEA DE ROSCA  7/8    EK-307S  ODF SOLDABLE,"19,00","13,30","32,30"
FILTRO SOLDABLE,,,
FITRO  10GR,"1,10","0,77","1,87"
FILTRO 15GR,"0,91","0,64","1,55"
FILTRO 20GR,"1,20","0,84","2,04"
FITRO   25 GR,"1,50","1,05","2,55"
FITRO   25 GR CON VALVULA DE SERVICIO,"1,70","1,19","2,89"
FITRO   30 GR,"1,70","1,19","2,89"
FITRO   31 GR  TOP FLO,"2,60","1,82","4,42"
FITRO ROSCABLE  DE COBRE  DE 1/4,"2,40","1,68","4,08"
FILTRO STRAINER  DE  2  Y  3  VIAS  CON MALLA  ,"1,20","0,84","2,04"
FILTRO DE PIEDRA EN LATA  H-48,"6,68","4,68","11,36"
FILTRO DE PIEDRA EN LATA   D-48  AR COMPONENTS,"8,00","5,60","13,60"
FILTRO  PURIFICADOR DE AGUA  PARA NEVERA WAPCO  1/4,"7,00","4,90","11,90"
FLARE  CONEXIONES,,,
"FLARE DE BRONCE  DE 1/4  X 1/4""  MACHO-MACHO","0,80","0,56","1,36"
"FLARE DE BRONCE  3/8"" X 3/8"" MACHO-MACHO","0,90","0,63","1,53"
"FLARE DE BRONCE  1/2""  X 1/2""  MACHO-MACHO","1,20","0,84","2,04"
"FLARE DE BRONCE 5/8""  X  5/8"" MACHO-MACHO","1,50","1,05","2,55"
FLOW,,,
FLOW GRANDE 1LTR,"2,64","1,85","4,49"
FLOW PEQUE헲  TETERITO  60ML,"0,95","0,67","1,62"
FORROS PARA MANTENIMIENTO DE A/A,,,
FORROS  PARA LAVAR HASTA 18 BTU,"7,56","5,29","12,85"
FORROS  PARA LAVAR HASTA 36 BTU,"8,88","6,22","15,10"
FUNDENTE,,,
FUNDENTE,"1,50","1,05","2,55"
GOMAS PARA MANGUERA ,, ,
GOMAS PARA MAGUERA MANOMETRO (O-RING) PAQ DE 6 UNIDADES,"0,50","0,35","0,85"
GOMAS PARA MAGUERA MANOMETRO (O-RING) X UNIDAD,"0,10","0,07","0,17"
GRASA ,,,
GRASA SPPED 7 PARA CHASIS 250GR,"5,00","3,50","8,50"
GUSANILLO PARA A/A Y REFRIGERACION,,,
GUSANILLOS PEQUE헲S  ,"0,59","0,41","1,00"
GUSANILLOS MEDIANOS ,"1,17","0,82","1,99"
GUSANILLOS GRANDES,"1,17","0,82","1,99"
KITS DE GOMAS,,,
GOMAS DE COMPRESOR  12/18/24 KBTU ,"1,80","1,26","3,06"
KITS FABRICADOR DE HIELO,,,
KIT DE INSTALACION FABRICADOR DE LSV-2K,"5,00","3,50","8,50"
LAPIZ LACO TIZA VERDE ORIGINAL ,,,
LAPIZ LACO TIZA VERDE ORIGINAL ,"17,85","12,50","30,35"
LLAVE RACHET,,,
LLAVE  RACHET,"2,80","1,96","4,76"
LLAVE DE BOMBONA,,,
LLAVE DE BOMBONA,"3,14","2,20","5,34"
LLAVE DE HUESO,,,
LLAVE DE HUESO,"1,18","0,83","2,01"
LLAVE DE GRIFO,,,
LLAVE PARA ENFRIADOR DE AGUA  ROJO  MACHO  ( GRIFO),"1,50","1,05","2,55"
LLAVE PARA ENFRIADOR DE AGUA  AZUL  HEMBRA (GRIFO),"1,50","1,05","2,55"
MANGUERAS /MANOMETRO/MOTORES,,,
"MANGUERA DE MANOMETRO 36"" EVERWELL","6,00","4,20","10,20"
"MANGUERA DE MANOMETRO 36"" MAXLES","8,59","6,01","14,60"
"MANGUERA DE MANOMETRO 60""  EVERWELL","5,68","3,98","9,66"
"MANGUERA DE MANOMETRO 36"" AR  COMPONENTS","5,00","3,50","8,50"
"MANGUERA DE MANOMETRO 60""  AR COMPONENTS","6,00","4,20","10,20"
MANGUERA DESAGUE SPLIT TIPO TRIPA DE POLLO,"1,00","0,70","1,70"
MANOMETROS,,,
MANOMETRO CON MANGUERA  R12/R22/R502   EVERWELL,"18,00","12,60","30,60"
MANOMETRO CON MANGUERA  R410/R404/R22   EVERWELL,"24,00","16,80","40,80"
MANOMETRO CON MANGUERA  R134/R404/R22   EVERWELL,"24,00","16,80","40,80"
MANOMETRO CON MANGUERA DIGITAL    EVERWELL,"103,00","72,10","175,10"
MANOMETRO SOLO DE BAJA  SIN MANGUERA,"6,00","4,20","10,20"
MICROMOTORES,,,
"MICROMOTOR CERAMICA GE 9,75  V DC  3,25 WATTS CON CABLE Y CON SENSOR      (PANASONIC) ","18,48","12,94","31,42"
"MICROMOTOR CERAMICA GE 9,75  V DC  3,25 WATTS CON CABLE SIN  SENSOR          (PANASONIC)","13,20","9,24","22,44"
"MICROMOTOR CERAMICA SIN CABLE NO. 7, 9 12            (SAMSUNG)","16,50","11,55","28,05"
"MICROMOTOR CERAMICA CON SENSOR  9,75V 3,25  W  WR60X10074    ( MASLEX)","14,00","9,80","23,80"
"MICROMOTOR CERAMICA SIN  SENSOR  9,75V 3,25    W  WR60X10185      ( MASLEX)","11,00","7,70","18,70"
MICROMOTOR CERAMICA  HAIER  13 VDC  DLA5985H,"20,00","14,00","34,00"
"MICROMOTOR  SANSUMG DA31 00146E  12V  3,21W  0,26 AMP  2620 RPM 4T","12,00","8,40","20,40"
"MICROMOTOR  SAMSUNG  12 VDC  3,48W  0,29 AMP  2770 RPM","15,00","10,50","25,50"
"MICROMOTOR  SAMSUNG  LM 052 EJE  GRUESO  120V  60HZ 0,15A  RPM3000","6,80","4,76","11,56"
MICROMOTOR  SAMSUNG  LM3210   EJE  FINO  CON CONECTOR,"6,80","4,76","11,56"
MICROMOTOR  LG  LM 02J   EJE  FINO  ,"6,80","4,76","11,56"
"MICROMOTOR  LG  LM 025  EJE  GRUESO   120V  60HZ 0,15A  RPM3000","6,80","4,76","11,56"
"MICROMOTOR  LG  EJE GRUEO EJE LARGO 12W  1,18AMP 3200RPM  4680JB1026F ","11,00","7,70","18,70"
"MICROMOTOR  DAEWOOD D4612AAAA20 E/F 13V  3,3W 0,233 AMP 2050 RPM","10,00","7,00","17,00"
MICROMOTOR  LM317  MASLEX,"6,80","4,76","11,56"
MICROMOTOR  LM329  ,"6,80","4,76","11,56"
"MICROMOTOR  YZF365  5,5 WATTS 0,09 AMP 3200RPM","6,80","4,76","11,56"
"MICROMOTOR  YZF343  E/G CORTO  12 WATTS 0,25 AMP 3200 RPM C/ASPA","8,80","6,16","14,96"
"MICROMOTOR  YZF-1-6.5R E/F   6W 0,09A 3200 RPM  ","6,80","4,76","11,56"
"MICROMOTOR  YZF PCS4W C/BASE  17W 0,30 AMP 3200 RPM C/ASPA ","8,80","6,16","14,96"
MICROMOTOR  YZF SM 329,"6,80","4,76","11,56"
MICROMOTOR  EX   LM  670   CON DOS ASPAS  MASLEX,"8,80","6,16","14,96"
"MICROMOTOR  ESM55  E/G  13W  0,20 AMP  3200 RPM","6,80","4,76","11,56"
"MICROMOTOR  F61-10  E/F  110V   6,5 W  0,12 AMP 3200 RPM MASLEX  ","6,80","4,76","11,56"
"MICROMOTOR  FL2-021 8,5 WATTS 0,14 AMP 3200 RPM","6,80","4,76","11,56"
"MICROMOTOR  IS32105NPSA  DWNFO E/F  6W  0,095AMP  3200 RPM MASLEX","6,80","4,76","11,56"
"MICROMOTOR  J58-00024K E/G 6W 0,13 AMP 3200 RPM ","6,80","4,76","11,56"
"MICROMOTOR  MSP63513/2T  CCW E/CORTO 8,5WATT  0,15AMP  3200 RPM","6,80","4,76","11,56"
"MICROMOTOR  NA 14AB E/F 6,5W 0,10A 3200 RPM  ","6,80","4,76","11,56"
MICROMOTOR  RE-02WTNA,"6,80","4,76","11,56"
MICROMOTOR  UNIVERSAL 999 CRISTO  MASLEX,"6,80","4,76","11,56"
"MICROMOTOR 20009075A  E/G CORTO  BASE DIAGONAL  11 WATTS 0,20 AMP 3200 RPM","6,80","4,76","11,56"
MOTORES DE ENFRIAMIENTO  MARCA  MASLEX,,,
MOTOR  DE ENFRIAMIENTO  10W 110V  CON BASE Y ASPA ,"7,20","5,04","12,24"
MOTORES DE ENFRIAMIENTO  MARCA   AR. COMPONENTS,,,
MOTOR  DE ENFRIAMIENTO  10W 110V  CON BASE Y ASPA ,"7,20","5,04","12,24"
MOTOR  DE ENFRIAMIENTO  18W 110V  CON BASE Y ASPA,,,"0,00"
MOTOR  DE ENFRIAMIENTO  25W 110V  CON BASE Y ASPA ,,,"0,00"
MOTOR  DE ENFRIAMIENTO  34W 110V  CON BASE Y ASPA ,,,"0,00"
MOTOR  DE ENFRIAMIENTO  50W 110V  CON BASE Y ASPA ,,,"0,00"
MOTOR  DE ENFRIAMIENTO  10W 220V  CON BASE Y ASPA ,,,"0,00"
MOTOR  DE ENFRIAMIENTO  18W 220V  CON BASE Y ASPA ,,,"0,00"
MOTOR  DE ENFRIAMIENTO  25W 220V  CON BASE Y ASPA ,,,"0,00"
MOTOR  DE ENFRIAMIENTO  34W 220V  CON BASE Y ASPA ,,,"0,00"
MOTOR  DE ENFRIAMIENTO  50W 220V  CON BASE Y ASPA ,,,"0,00"
MOTORES DE ENFRIAMIENTO  MARCA   EVERWELL,,,
MOTOR  DE ENFRIAMIENTO  10W 110V  CON BASE Y ASPA EVERWELL,"9,00","6,30","15,30"
MOTOR  DE ENFRIAMIENTO  18W 110V  CON BASE Y ASPA EVERWELL,"10,97","7,68","18,65"
MOTOR  DE ENFRIAMIENTO  25W 110V  CON BASE Y ASPA EVERWELL,"13,27","9,29","22,56"
MOTOR  DE ENFRIAMIENTO  34W 110V  CON BASE Y ASPA EVERWELL,"13,50","9,45","22,95"
MOTOR  DE ENFRIAMIENTO  50W 110V  CON BASE Y ASPA EVERWELL,"14,00","9,80","23,80"
MOTOR  DE ENFRIAMIENTO  10W 220V  CON BASE Y ASPA EVERWELL,"11,00","7,70","18,70"
MOTOR  DE ENFRIAMIENTO  18W 220V  CON BASE Y ASPA EVERWELL,"11,97","8,38","20,35"
MOTOR  DE ENFRIAMIENTO  25W 220V  CON BASE Y ASPA EVERWELL,"14,50","10,15","24,65"
MOTOR  DE ENFRIAMIENTO  34W 220V  CON BASE Y ASPA EVERWELL,"15,00","10,50","25,50"
MOTOR  DE ENFRIAMIENTO  50W 220V  CON BASE Y ASPA EVERWELL,"16,00","11,20","27,20"
MOTORES DE ENFRIAMIENTO  MARCA   MOTORVENCA,,,
MOTOR  DE ENFRIAMIENTO  5W 110V    1550 RPM  SIN BASE NI ASPA,"11,12","7,78","18,90"
MOTOR  DE ENFRIAMIENTO  10W 110V  1550 RPM SIN BASE NI ASPA,"11,74","8,22","19,96"
MOTOR  DE ENFRIAMIENTO  12W 110V  1550  RPM SIN BASE NI ASPA ,"13,47","9,43","22,90"
MOTOR  DE ENFRIAMIENTO  18W 110V  1550 RPM SIN BASE NI ASPA,"13,60","9,52","23,12"
MOTOR  DE ENFRIAMIENTO  25W 110V   1550 RPM SIN BASE NI ASPA ,"17,83","12,48","30,31"
MOTOR  DE ENFRIAMIENTO  34W 110V   1550 RPM SIN BASE NI ASPA ,"19,80","13,86","33,66"
MOTOR  DE ENFRIAMIENTO  37W 110V  1625 RPM SIN BASE NI ASPA ,"21,63","15,14","36,77"
MOTOR  DE ENFRIAMIENTO  50W 110V   1625  RPM SIN BASE NI ASPA,"24,85","17,40","42,25"
MOTOR  DE ENFRIAMIENTO  10W 220V  1550 RPM SIN BASE NI ASPA             ,"12,98","9,09","22,07"
MOTOR  DE ENFRIAMIENTO  18W 220V    1550 RPM SIN BASE NI ASPA                    ,"15,45","10,82","26,27"
MOTOR  DE ENFRIAMIENTO  25W 220V   1550 RPM  SIN BASE NI ASPA ,"19,38","13,57","32,95"
MOTOR  DE ENFRIAMIENTO  34W 220V   1550  RPM SIN BASE NI ASPA ,"20,39","14,27","34,66"
MOTOR  DE ENFRIAMIENTO  37W 220V  1625 RPM SIN BASE NI ASPA,"23,11","16,18","39,29"
MOTOR  DE ENFRIAMIENTO  50W 220V   1625  RPM  SIN BASE NI ASPA,"25,51","17,86","43,37"
MOTORES DE ENFRIAMIENTO  MARCA   KIELMANN,,,
MOTOR  DE ENFRIAMIENTO  10W 110V  SIN BASE NI ASPA KIELMANN,"9,00","6,30","15,30"
MOTOR  DE ENFRIAMIENTO  18W 110V  SIN BASE NI ASPA KIELMANN, ,,
MOTOR  DE ENFRIAMIENTO  25W 110V  SIN BASE NI ASPA KIELMANN, ,,
MOTOR  DE ENFRIAMIENTO  34W 110V  SIN BASE NI ASPA KIELMANN, ,,
MOTOR  DE ENFRIAMIENTO  50W 110V  SIN BASE NI ASPA KIELMANN, ,,
MOTOR  DE ENFRIAMIENTO  10W 220V  SIN BASE NI ASPA KIELMANN, ,,
MOTOR  DE ENFRIAMIENTO  18W 220V  SIN BASE NI ASPA KIELMANN,  ,,
MOTOR  DE ENFRIAMIENTO  25W 220V  SIN BASE NI ASPA KIELMANN, ,,
MOTOR  DE ENFRIAMIENTO  34W 220V  SIN BASE NI ASPA KIELMANN,"14,77","10,34","25,11"
MOTOR  DE ENFRIAMIENTO  50W 220V  SIN BASE NI ASPA KIELMANN,"29,99","20,99","50,98"
MOTORES MINI SPLIT DE LA UNIDAD EVAPORADORA MARCA: AR COMPONENTS,,,
MOTOR DE TURBINA DE LA EVAPORADORA A/A  12 WATTS  220V  UN EJE YDK  ,"9,67","6,77","16,44"
MOTOR DE TURBINA DE LA EVAPORADORA A/A  18 WATTS  220V  UN EJE YDK  ,"11,21","7,85","19,06"
MOTOR DE TURBINA DE LA EVAPORADORA A/A  22 WATTS  220V  UN EJE YDK  ,"12,35","8,65","21,00"
MOTOR DE TURBINA DE LA EVAPORADORA A/A  26 WATTS  220V  UN EJE YDK  ,"13,46","9,42","22,88"
MOTOR DE TURBINA DE LA EVAPORADORA A/A  35 WATTS  220V  UN EJE YDK  ,"15,85","11,10","26,95"
MOTORES MINI SPLIT DE LA UNIDAD  CONDENDADORA AR COMPONENTS,,,
MOTOR  MINI SPLIT CONDENSADOR  30  WATTS    220V,"15,00","10,50","25,50"
MOTOR  MINI SPLIT CONDENSADOR  35  WATTS    220V,"16,00","11,20","27,20"
MOTOR  MINI SPLIT CONDENSADOR  40 WATTS    220V,"17,00","11,90","28,90"
MOTORES DE LA UNIDAD CONDENSADORA  MARCA ROSTOCK,,,
MOTOR  DE LA CONDENSADORA 220V  3/4 HP  1 EJE 1/2 PULGADA 1075 RPM ,"76,88","53,82","130,70"
MOTOR  DE LA CONDENSADORA 220V  1/2 HP  1 EJE  1/2 PULGADA  1075 RPM,"56,77","39,74","96,51"
MOTOR  DE LA CONDENSADORA 220V  1/3  HP  1 EJE  1/2  PULGADA  1075 RPM,"59,84","41,89","101,73"
MOTOR  DE LA CONDENSADORA 220V  1/4 HP   1 EJE  1/2 PULGADA  1075 RPM,"59,64","41,75","101,39"
MOTOR  DE LA CONDENSADOAR 220V  1/6 HP  1 EJE 1/2 PULGADA 1075 RPM,"15,00","10,50","25,50"
MOTOR  DE LA CONDENSADORA 220V  1/8 HP  1 EJE  1/2  PULGADA  1075 RPM,"58,39","40,87","99,26"
MOTORES DE LA UNIDAD CONDENSADORA  MARCA NIDEC  US,,,
MOTOR  DE LA CONDENSADORA 220V    1 HP    1 EJE  5/8  PULGADA 1075 RPM,"220,00","154,00","374,00"
MOTOR  DE LA CONDENSADORA 220V   3/4 HP  1  EJE  1/2  PULGADA  1075 RPM,"90,86","63,60","154,46"
MOTOR  DE LA CONDENSADORA 220V   1/2  HP 2 EJES   1/2 PULGADA  1075 RPM,"78,00","54,60","132,60"
MOTOR  DE LA CONDENSADORA 220V   1/2  HP   1 EJE  1/2  PULGADA   1075 RPM,"74,17","51,92","126,09"
MOTOR  DE LA CONDENSADORA 220V   1/3 HP  1  EJE  1/2  PULGADA  1075 RPM,"90,86","63,60","154,46"
MOTORES DE LA UNIDAD CONDENSADORA  MARCA EMERSON,,,
MOTOR DE LA CONDENSADORA 220V  1868 3/4 HP  1 EJE 1/2  PULGADA   1075 RPM,"74,17","51,92","126,09"
MOTOR DE LA CONDENSADORA 220V   1/2 HP  1 EJE  1/2 PULGADA  1075 RPM,"70,80","49,56","120,36"
MOTORES DE LA UNIDAD CONDENSADORA  DE ARTURITO Y  A/A DE VENTANA,,,
MOTOR DOBLE EJE  125W  220V  YSLA  12060016,"14,00","9,80","23,80"
ORIFICIOS ,,,
ORIFICIO   MARCA EVERWELL,"6,50","4,55","11,05"
ORIFICIO  MARCA  KIELLMAN,"10,95","7,67","18,62"
ORIFICIO  MARCA  DANFOSS,"10,00","7,00","17,00"
"O""RINGS",,,
"O""RING  PEQUE헲 Y MEDIANO","0,59","0,41","1,00"
GRANDE,"1,20","0,84","2,04"
PESOS,, ,
PESOS ELECTRONICOS 50KG,"3,50","2,45","5,95"
PICOS DE SOLDAR  ,,,
PICO PARA SOLDAR CON AUTO ENCENDEDOR EVERWELL,"20,76","14,53","35,29"
PICO PARA SOLDAR SENCILLO EVERWELL,"15,37","10,76","26,13"
PICO PARA SOLDAR SENCILLO MAXLE,"14,41","10,09","24,50"
PICO PARA SOLDAR CON MANGUERA  TK9  MOD RPS-2  AR COMPONENTS ,"24,00","16,80","40,80"
PINZAS  AMPERIMETRICAS,,,
PINZA AMPERIMETRICA DIGITAL  RCAPV AR COMPONENTS,"24,00","16,80","40,80"
PINZA AMPERIMETRO  266,"10,00","7,00","17,00"
PINZA AMPERIMETRO  MT87,"7,50","5,25","12,75"
PINZA RECOGE HERRAMENTAS,"1,97","1,38","3,35"
PRESOSTATOS EVERWELL ,,,
PRESOSTATO PL2580       R22    BAJA  25 Y 80  PSI  CABLE  AZUL,"3,70","2,59","6,29"
PRESOSTATO PH350250  R22    ALTA  250 Y 350  PSI  CABLE  NEGRO,"3,70","2,59","6,29"
PRESOSTATO PL80130     R410  BAJA  80 Y 130  PSI  CABLE  AZUL,"3,70","2,59","6,29"
PRESOSTATO PL2580       R410  ALTA  450 Y 550  PSI  CABLE  ALTA,"3,70","2,59","6,29"
PRESOSTATOS AR. COMPONENTS,,,
PRESOSTATO PR80           R22    BAJA  25 Y 80  PSI  CABLE  AZUL,"3,70","2,59","6,29"
PRESOSTATO PR250        R22    ALTA  250 Y 350  PSI  CABLE  NEGRO,"3,70","2,59","6,29"
PRESOSTATO PR130        R410  BAJA  75 Y 130  PSI  CABLE  AZUL,"3,70","2,59","6,29"
PRESOSTATO PR550        R410  ALTA  450 Y 550  PSI  CABLE  NEGRO,"3,70","2,59","6,29"
PRESOSTATOS  DE ACEITE /TEMPERATURA Y DUAL  MARCA  RANCO ,,,
PRESOSTATO RANCO 1402 PARA BAJA PRESION,"29,00","20,30","49,30"
PRESOSTATO RANCO 1408  PARA BAJA TEMPERATURA,"39,00","27,30","66,30"
PRESOSTATO RANCO 1549 DUAL AUTOMATICO  PARA BALA Y ALTA ,"54,00","37,80","91,80"
PRESOSTATO  RANCO N 5826  PARA PRESION DE ACEITE,"72,00","50,40","122,40"
PRESOSTATOS  DE ACEITE /TEMPERATURA Y DUAL  MARCA  AR. COMPONENTS ,,,
"PRESOSTATO  1402 PARA BAJA PRESION   0-50 PSI  CAPILAR DE 36""   90CM  MARCA  AR COMPONENTS","13,00","9,10","22,10"
PRESOSTATO 1549 DUAL AUTOMATICO  PARA BALA Y ALTA  AR  COMPONENTS,"18,00","12,60","30,60"
PRESOSTATOS  DE ACEITE /TEMPERATURA Y DUAL  MARCA  EVERWELL,,,
PRESOSTATO DE PRESION  100 A 450 PSI  EVERWELL 016-200 RESETEO MANUAL,"20,00","14,00","34,00"
PRESOSTATOS  DE ACEITE /TEMPERATURA Y DUAL  MARCA  QUALITY,,,
"PRESOSTATO 1402 PARA BAJA PRESION   0-50 PSI  CAPILAR DE 36""   90CM MARCA QUALITY ","10,00","7,00","17,00"
PRENSAS,,,
JUEGO DE PRENSA SIN CORTA TUBO  PTK 195,"6,00","4,20","10,20"
JUEGO  DE PRENSA CON CORTA TUBO,"10,00","2,80","12,80"
JUEGO DE PRESNSA  HASTA 1   1/8  CT-203A,"9,00","2,52","11,52"
PARILLAS CONDESADORAS PARA NEVERA,,,
PARILLA CONDESADORA NEVERA UNIVERSAL PEQUE헤 76CM ,"28,00","19,60","47,60"
PARILLA CONDESADORA NEVERA UNIVERSAL GRANDE 120CM ,"28,00","19,60","47,60"
PROTECTORES DE VOLTAGE PARA REFRIGERACION,,,
PROTECTOR DE BORNERA  110V  ,"12,30","8,61","20,91"
PROTECTOR DE BORNERA 220V  50/60 HZ  30 AMP  HASTA 36 KBTU  EVERWELL EW-V015-220,"12,30","8,61","20,91"
PROTECTOR DE BORNERA 330V,"12,30","8,61","20,91"
PROTECTOR DE ENCHUFE 110V  50/60 HZ 20AMP  HASTA 14 KBTU   EVERWELL EW-V010-120,"9,56","6,69","16,25"
PROTECTOR DE ENCHUFE 330V,"9,56","6,69","16,25"
